73.817,37.8,0.087582,3
73.56,38.12,0.085524,3
71.757,40.36,0.071117,4
71.499,40.68,0.069059,4
71.242,41,0.067001,4
70.984,41.32,0.064943,4
70.727,41.64,0.062885,4
70.469,41.96,0.060826,4
70.212,42.28,0.058768,4
69.954,42.6,0.05671,4
69.696,42.92,0.054652,4
69.439,43.24,0.052594,4
69.181,43.56,0.050536,4
64.545,43.5,0.01349,2
64.288,38,0.011432,2
64.03,32.5,0.009374,2
63.773,27,0.0073159,2
63.515,21.5,0.0052578,2
63.258,16,0.0031997,2
82.441,10.056,0.034145,2
83.239,9.9364,0.040642,2
84.036,9.8171,0.04714,2
84.834,9.6979,0.053637,2
85.632,9.5786,0.060135,2
86.429,9.4593,0.066632,3
87.227,9.34,0.07313,3
88.024,9.2207,0.079627,3
88.822,9.1014,0.086125,3
89.619,8.9821,0.092623,3
90.417,8.8629,0.09912,3
91.215,8.7436,0.10562,3
92.012,8.6243,0.11212,3
92.81,8.505,0.11861,3
93.607,8.3857,0.12511,3
94.405,8.2664,0.13161,3
95.31,7.5507,0.13898,4
95.138,7.4314,0.13758,4
94.966,7.3121,0.13618,4
94.793,7.1929,0.13477,4
94.621,7.0736,0.13337,4
94.448,6.9543,0.13196,4
94.276,6.835,0.13056,4
94.103,6.7157,0.12915,4
93.931,6.5964,0.12775,4
93.759,6.4771,0.12634,4
93.586,6.3579,0.12494,4
93.414,6.2386,0.12353,4
93.241,6.1193,0.12213,4
93.069,6,0.12072,4
92.897,6.1333,0.11932,4
92.724,6.2667,0.11792,4
91.69,7.0667,0.10949,2
91.517,7.2,0.10808,2
91.345,7.3333,0.10668,2
91.172,7.4667,0.10527,2
91,7.6,0.10387,2
88,7.7333,0.07943,2
85,7.8667,0.05499,2
82,8,0.03055,2
79,15.333,0.00611,2
76,22.667,-0.01833,2
76.75,30,-0.01222,2
77.5,28.252,-0.00611,2
78.25,26.504,0,2
79,24.756,0.00611,2
79,23.008,0.00611,2
79,21.26,0.00611,2
76.958,21.59,0.14662,2
76.658,23.394,0.14449,2
76.359,25.197,0.14236,2
76.06,27,0.14024,2
75.761,26.75,0.13811,2
75.462,26.5,0.13598,3
75.163,26.25,0.13386,3
74.864,26,0.13173,3
74.564,25.75,0.1296,3
74.265,25.5,0.12748,3
73.966,25.25,0.12535,3
73.667,25,0.12322,3
73.368,24.75,0.1211,3
73.069,24.5,0.11897,3
72.769,24.25,0.11684,3
72.47,24,0.11472,3
70.675,22.5,0.10196,4
70.376,22.25,0.099831,4
70.077,22,0.097705,4
69.778,25,0.095578,4
69.479,28,0.093451,4
69.18,31,0.091325,4
68.881,34,0.089198,4
68.581,37,0.087071,4
68.282,40,0.084945,4
67.983,43,0.082818,4
67.684,46,0.080691,4
67.385,49,0.078565,4
67.086,52,0.076438,4
66.786,55,0.074311,4
